job_id,model,cell_id,paraphrase,replicate,lang,perf,domain,polars,recognition,placebo,error,extract_kind,n_blocks,judge_pattern,judge_closure_capable,judge_confidence,judge_why,judge_input_tokens,judge_output_tokens,closure_capable,needs_manual_review,interface_compiles,graded,has_function_param,n_candidate_calls,compiler_error,probe_local_state,probe_extern_effect,probe_exception_exit,probe_runtime_value
024c50cd44c22086,cerebras:gpt-oss-120b,5656c483b6,p0,3,c,present,numeric,present,default,a,,tagged,3,A,1.0,0.97,User passes a function pointer called per element; can use user_data for state and return non‑zero to stop,2595.0,634.0,1.0,0,,,,,,,,,
0d65c455189b5095,cerebras:gpt-oss-120b,dbed7a13fe,p0,5,ocaml,absent,numeric,absent,default,a,,tagged,7,,,,,,,1.0,0,1.0,4.0,1.0,5.0,,1.0,1.0,1.0,1.0
0f603fc2c900fac4,cerebras:gpt-oss-120b,5656c483b6,p0,8,c,present,numeric,present,default,a,,tagged,1,A,1.0,0.99,"callback pointer invoked per element, user code can use userdata and return non‑zero to stop",2746.0,499.0,1.0,0,,,,,,,,,
1058f4d958d63cb9,cerebras:gpt-oss-120b,92a45f8a3c,p0,6,lua,present,numeric,present,default,a,,tagged,5,A,1.0,0.99,for_each_block takes a Lua callback executed per element,612.0,145.0,1.0,0,,,,,,,,,
1353f6deb480ae69,cerebras:gpt-oss-120b,dbed7a13fe,p0,3,ocaml,absent,numeric,absent,default,a,,tagged,5,,,,,,,0.0,1,1.0,0.0,1.0,3.0,,0.0,0.0,0.0,0.0
138ba7fd9ed2a959,cerebras:gpt-oss-120b,a5a6d0dc58,p0,3,ocaml,absent,neutral,absent,offered,a,,tagged,5,,,,,,,1.0,0,1.0,4.0,1.0,8.0,,1.0,1.0,1.0,1.0
162af0eab91bda9b,cerebras:gpt-oss-120b,a5a6d0dc58,p0,7,ocaml,absent,neutral,absent,offered,a,,tagged,5,,,,,,,1.0,0,1.0,4.0,1.0,5.0,,1.0,1.0,1.0,1.0
16485fd92be6a99a,cerebras:gpt-oss-120b,dbed7a13fe,p0,4,ocaml,absent,numeric,absent,default,a,,tagged,5,,,,,,,0.0,1,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0
1bbd458b2e3a350d,cerebras:gpt-oss-120b,5656c483b6,p0,9,c,present,numeric,present,default,a,,tagged,4,A,0.0,0.99,iterator calls user‑supplied function pointer per element,1466.0,279.0,0.0,0,,,,,,,,,
1be3092cfc5e5ccc,cerebras:gpt-oss-120b,5656c483b6,p0,4,c,present,numeric,present,default,a,,tagged,2,A,1.0,0.97,"Uses C callback function pointer per block; user can manage state via user_data, early abort supported",2683.0,346.0,1.0,0,,,,,,,,,
1d44820772250cf0,cerebras:gpt-oss-120b,869c4adf71,p0,9,julia,present,numeric,present,default,a,,tagged,7,A,1.0,0.99,User passes a Julia closure invoked per block through C‐function wrapper,1496.0,170.0,1.0,0,,,,,,,,,
1db248237769e85c,cerebras:gpt-oss-120b,3f7735d62d,p0,9,ocaml,absent,neutral,present,default,a,,tagged,6,,,,,,,1.0,0,1.0,4.0,1.0,6.0,,1.0,1.0,1.0,1.0
1fe3278402bd3ed3,cerebras:gpt-oss-120b,3a7d1d7270,p0,6,ocaml,absent,neutral,absent,default,b,,tagged,6,,,,,,,1.0,0,1.0,4.0,1.0,4.0,,1.0,1.0,1.0,1.0
1ff593e13ebd0572,cerebras:gpt-oss-120b,3d50677ecd,p0,6,ocaml,present,numeric,present,default,a,,tagged,7,,,,,,,0.0,1,1.0,0.0,1.0,5.0,,0.0,0.0,0.0,0.0
20693e3f9fbd4107,cerebras:gpt-oss-120b,dbed7a13fe,p0,1,ocaml,absent,numeric,absent,default,a,,tagged,8,,,,,,,0.0,1,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0
20a0080e00bb925f,cerebras:gpt-oss-120b,869c4adf71,p0,0,julia,present,numeric,present,default,a,,tagged,5,A,1.0,0.99,"User passes a Julia closure invoked per block via C callback, supporting closures and early exit",1659.0,124.0,1.0,0,,,,,,,,,
23378c0b827e27f4,cerebras:gpt-oss-120b,869c4adf71,p0,3,julia,present,numeric,present,default,a,,tagged,4,A,1.0,0.98,"Julia function passed via cfunction is invoked per element, can close over state",1308.0,232.0,1.0,0,,,,,,,,,
